北京联通,#genre#
北京财经,rtp://239.2.1.229:8000
北京卫视,rtp://239.2.1.230:8000
北京生活,rtp://239.2.1.231:8000
北京新闻,rtp://239.2.1.233:8000
河南卫视高清,rtp://239.2.1.234:8184
北京国际频道,rtp://239.2.1.235:8000
测试,rtp://239.2.1.236:2000
吉林卫视高清,rtp://239.2.1.238:8002
卫视,rtp://239.2.1.240:8172
北京文艺,rtp://239.2.1.242:8000
CCTV1,239.2.1.243:8000
卫视,rtp://239.2.1.244:2000
rtp://239.2.1.244:2000
CCTV4K,rtp://239.2.1.245:2000
北京卫视,rtp://239.2.1.247:2000
北京卫视,rtp://239.2.1.248:2000
北京IPTV4k超清,rtp://239.2.1.249:8002
北京IPTV淘电影,rtp://239.2.1.250:8002
北京卫视,rtp://239.2.1.253:8002
