央视, #genre#
爱生活,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000318?AuthInfo=xxx&userid=
财富天下,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000276?AuthInfo=xxx&userid=
地理,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000337?AuthInfo=xxx&userid=
都市剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000336?AuthInfo=xxx&userid=
动画,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000324?AuthInfo=xxx&userid=
动作影院,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000312?AuthInfo=xxx&userid=
高网,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000316?AuthInfo=xxx&userid=
古装剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000334?AuthInfo=xxx&userid=
国学,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000327?AuthInfo=xxx&userid=
光影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000320?AuthInfo=xxx&userid=
好学生,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000323?AuthInfo=xxx&userid=
家庭影院,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000311?AuthInfo=xxx&userid=
解密,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000329?AuthInfo=xxx&userid=
精选,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000330?AuthInfo=xxx&userid=
军旅剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000335?AuthInfo=xxx&userid=
军事,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000328?AuthInfo=xxx&userid=
美人,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000331?AuthInfo=xxx&userid=
美妆,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000332?AuthInfo=xxx&userid=
墨宝,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000321?AuthInfo=xxx&userid=
台球,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000319?AuthInfo=xxx&userid=
武术,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000317?AuthInfo=xxx&userid=
武侠剧,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000314?AuthInfo=xxx&userid=
戏曲,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000326?AuthInfo=xxx&userid=
喜剧影院,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000313?AuthInfo=xxx&userid=
星影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000312?AuthInfo=xxx&userid=
音乐剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000333?AuthInfo=xxx&userid=
早教,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000325?AuthInfo=xxx&userid=
足球,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000315?AuthInfo=xxx&userid=
