央视,#genre#
CETV4,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221228104/index.m3u8
山东教育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227945/index.m3u8
四川经济,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227415/index.m3u8
四川文化旅游,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227413/index.m3u8
四川新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227411/index.m3u8
四川影视文艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227409/index.m3u8
四川星空购物,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227407/index.m3u8
四川妇女儿童,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227405/index.m3u8
四川科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227936/index.m3u8
四川乡村,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227403/index.m3u8
